,basin_id,discharge_coverage,unique_discharge_count
0,02AA001,0.0,1
1,02AA002,0.0,1
2,02AB001,0.0,1
3,02AB002,0.0,1
4,02AB004,0.0,1
5,02AB005,0.0,1
6,02AB006,1.0,938
7,02AB007,0.0,1
8,02AB008,1.0,1375
9,02AB009,0.0,1
10,02AB010,0.0,1
11,02AB011,0.0,1
12,02AB012,0.9996816503247168,1
13,02AB013,0.0,1
14,02AB014,1.0,1366
15,02AB015,0.0,1
16,02AB016,0.0,1
17,02AB017,1.0,1560
18,02AB019,0.8644467082643575,988
19,02AB020,0.8371959760601044,1183
20,02AB021,0.7906532535336814,1635
21,02AB022,0.4584872023430536,750
22,02AB023,0.3639373487839042,1264
23,02AB024,0.3608175219661276,1042
24,02AB025,0.3555329173564243,3086
25,02AC001,1.0,1470
26,02AC002,1.0,1355
27,02AD010,1.0,1309
28,02AD011,0.8184133452183878,1
29,02AE001,1.0,1414
30,02BA002,0.0,1
31,02BA003,1.0,1323
32,02BA005,0.7882337960015281,704
33,02BA006,0.4602062905895836,1315
34,02BB002,0.0,1
35,02BB003,1.0,1335
36,02BB004,0.886667515599134,1274
37,02BC002,0.0,1
38,02BC003,0.0,1
39,02BC004,1.0,765
40,02BC005,0.6743919521202089,1
41,02BC006,0.3720871004711575,1384
42,02BC008,0.0930217751177893,512
43,02BD001,0.0,1
44,02BD002,1.0,858
45,02BD003,0.0,1
46,02BD006,0.7674137272379982,970
47,02BD007,0.4883484018846301,788
48,02BE001,0.0,1
49,02BE002,1.0,954
50,02BF001,1.0,1435
51,02BF002,1.0,1450
52,02BF003,0.0,1
53,02BF004,1.0,1312
54,02BF005,0.9887940914300268,674
55,02BF006,1.0,575
56,02BF007,0.9655545651343436,450
57,02BF014,0.3720871004711575,1354
58,02CA002,1.0,1565
59,02CA007,0.3720871004711575,1369
60,02CB001,0.0,1
61,02CB002,0.0,1
62,02CB003,0.98376416656055,1415
63,02CC002,0.0,1
64,02CC003,0.0,1
65,02CC004,0.0,1
66,02CC005,1.0,1226
67,02CC006,0.0,1
68,02CC007,0.0,1
69,02CC008,1.0,3827
70,02CC009,0.0,1
71,02CC010,0.9842735260410036,1279
72,02CD001,1.0,1426
73,02CD002,0.0,1
74,02CD003,0.0,1
75,02CD004,0.0,1
76,02CD005,0.0,1
77,02CD006,1.0,1294
78,02CE001,0.0,1
79,02CE002,1.0,1241
80,02CE003,0.0,1
81,02CE004,0.0,1
82,02CE007,0.3866038456640774,971
83,02CE103,0.0,1
84,02CF001,0.0,1
85,02CF002,0.0,1
86,02CF004,0.99980899019483,1
87,02CF005,1.0,1024
88,02CF007,1.0,1406
89,02CF008,1.0,1454
90,02CF009,0.0,1
91,02CF010,1.0,1260
92,02CF011,1.0,1154
93,02CF012,1.0,1199
94,02CF013,0.9718578887049536,1055
95,02CF014,0.4063415255316439,1304
96,02CF100,0.0,1
97,02CG001,0.0,1
98,02CG003,0.8722781102763275,840
99,02CG004,0.3720871004711575,459
100,02DA001,0.0,1
101,02DB001,0.0,1
102,02DB002,0.0,1
103,02DB003,0.0,1
104,02DB004,0.0,1
105,02DB005,1.0,1057
106,02DB006,0.0,1
107,02DB007,0.9931873169489368,1288
108,02DB008,0.0464790525913663,411
109,02DC001,0.0,1
110,02DC002,0.0,1
111,02DC003,0.0,1
