variable,mean,variance
dayl,43200.14341512678,71604045.38601851
discharge_log,3.2232695112217513,2.272959855787578
prcp_log,-6.042846837204128,53.35023092819266
srad,296.18676426553344,17285.45376035862
swe_log,-6.1188209562804525,71.434707104331
tmax,12.078580107118542,139.83883267743028
tmin,1.4887280861317498,118.53504191383463
vp,844.0701802866824,316825.2294025464
