basin_id,mean_discharge,median_discharge,discharge_coverage,area,mean_discharge_area_ratio,median_discharge_area_ratio
02AA001,13.956582493521452,7.65,0.4322070810777176,1569.087133753631,0.008894714763312076,0.0048754462613554
02AA002,,,0.0,391.2882362398527,,
02AB001,,,0.0,3553.916861187799,,
02AB002,,,0.0,2894.015833236437,,
02AB004,30.858506378802748,32.3,0.31703067637359217,3397.4083196725314,0.009082954851237054,0.00950724698381657
02AB005,,,0.0,2607.386317921881,,
02AB006,55.65174411322646,49.5,0.9935909402028499,6460.499667493662,0.008614154783296574,0.007661946064181662
02AB007,,,0.0,7367.247353704442,,
02AB008,1.5688797432686288,0.435,0.9937153879659013,207.439295029929,0.007563078842136796,0.002096999027774554
02AB009,23.007477736549163,13.75,0.3353867214236824,2856.587706357903,0.008054182157733668,0.004813435263827764
02AB010,52.33198462101794,47.1,0.3398668408935349,6749.181683541999,0.0077538266229564435,0.006978623810773119
02AB011,7.912652750898535,4.8,0.22506377947856387,1168.1301307680562,0.006773776775791147,0.004109131229107116
02AB012,2.518690813877373,2.0285714285714285,0.28517204903241866,172.6742688461957,0.014586370225900995,0.011747965936825921
02AB013,5.179086316714254,4.1,0.28330533258664675,524.2701407386675,0.009878659710463788,0.007820395787223983
02AB014,1.0403372426699937,0.308,0.9974488208574451,104.68361836558444,0.009937918261832004,0.002942198643959535
02AB015,5.84715306122449,2.19,0.14635056934851595,500.7137678548439,0.011677635880225226,0.004373756306686732
02AB016,1.5275592216582063,0.58,0.1470972559268247,136.11137803633736,0.01122286206852154,0.004261216133196143
02AB017,2.131705513391457,0.701,0.9920353431647067,225.27409806934105,0.00946271911267536,0.003111764761274183
02AB019,0.3794203210940984,0.137,0.8371601020471657,44.63292684915285,0.008500906121985587,0.003069482771385859
02AB020,0.7335342107230988,0.246,0.8321199676435816,81.16640305126974,0.009037411824936397,0.0030308106649078823
02AB021,4.1490959038220545,1.47,0.7944745193205152,405.5787275118516,0.010230062925824462,0.0036244504464476492
02AB022,0.33850579795597485,0.08,0.31659510920291206,44.35998869853953,0.00763088106844174,0.001803426969823233
02AB023,1.596622386537481,0.163,0.3660630950158671,179.91948803100854,0.008874093651613261,0.0009059607815908608
02AB024,0.48365577507598784,0.128,0.36848982639537053,53.00631071742797,0.009124494207007061,0.0024148068082375483
02AB025,191.30068114091102,251.3111795774648,0.29232779540787757,7732.412764787297,0.024740102081988805,0.03250100417839991
02AC001,6.5262518234524025,3.1,0.9981332835542281,725.9219811179809,0.008990293713659732,0.0042704313695333205
02AC002,24.061646615135267,13.9,0.9981955074357538,2614.529682391945,0.009203049702278416,0.005316443754152893
02AD010,7.062620496546575,3.2,1.0,646.228851017346,0.010928977382281872,0.004951806151895416
02AD011,15.907971014492755,16.4,0.004293447825275341,2188.643444414539,0.007268415993061917,0.007493226017172017
02AE001,7.389420052342971,5.08,0.9985688507249082,606.9823033431549,0.012174028817056622,0.008369272006811776
02BA002,15.57271095484826,9.79,0.33625785576504263,1190.941038793889,0.013075971393696645,0.008220390162988003
02BA003,15.28072185924958,7.45,1.0,1319.48691450223,0.011580805911223574,0.005646134052652183
02BA005,0.1859303082756347,0.062,0.7549001306701512,10.82602181440203,0.017174388844135587,0.0057269420903549645
02BA006,14.15158303700777,7.45,0.4724659324248647,1182.927966452962,0.011963182406991046,0.0062979320899302135
02BB002,24.49358775205377,12.3,0.2499533320888557,2158.074627306443,0.011349740848686472,0.005699524865528861
02BB003,49.37882241304212,23.1,1.0,4201.745912072211,0.01175197726049302,0.005497714636582482
02BB004,2.2177484369511764,1.14,0.8857569535187605,208.565285342651,0.010633353644196574,0.005465914416807662
02BC002,,,0.0,4128.020224558867,,
02BC003,,,0.0,2018.9867295006604,,
02BC004,48.0682520045819,31.3,0.8148217285794288,4145.709006089764,0.011594699949748743,0.007549975156004059
02BC005,8.873853834389339,3.507563025210084,0.28479870574326427,531.5592238403161,0.01669400781022869,0.006598630722404281
02BC006,6.039244952616398,2.75,0.30203472092589134,406.39761394106586,0.014860434080924956,0.006766772012590591
02BC008,39.709468784227816,26.7,0.1136208076659822,4229.999328597849,0.009387582762900963,0.006312057739463154
02BD001,,,0.0,1723.653680130046,,
02BD002,65.67189021128644,66.5,0.9306203720988115,5295.747342681235,0.012400872995205392,0.012557245596677404
02BD003,24.810909575886903,14.7,0.2332773318399602,1990.5847212469037,0.01246413142382874,0.00738476480960424
02BD006,0.9619961722488038,0.7867560975609756,0.5852156057494866,30.38193371722952,0.03166342804912573,0.025895524125734242
02BD007,24.58305283925202,20.08245614035088,0.3627030054134777,1948.83900898423,0.012614204008603639,0.010304830746803564
02BE001,,,0.0,2887.6135788494635,,
