,basin_id,NSE,KGE,Performance
0,02AA001,,,N/A
1,02AA002,,,N/A
2,02AB001,,,N/A
3,02AB002,,,N/A
4,02AB004,,,N/A
5,02AB005,,,N/A
6,02AB006,-10445.442965408452,-99.44709689130083,Negative
7,02AB007,,,N/A
8,02AB008,0.5282614909327707,0.6557483093178915,Good
9,02AB009,,,N/A
10,02AB010,,,N/A
11,02AB011,,,N/A
12,02AB012,,,N/A
13,02AB013,,,N/A
14,02AB014,0.4343818195505863,0.2365412410871679,Good
15,02AB015,,,N/A
16,02AB016,,,N/A
17,02AB017,0.059817859225628434,0.5582785134757888,Unsatisfactory
18,02AB019,0.6125445463638404,0.5709978351794247,Good
19,02AB020,0.5807411748263895,0.49359072549255767,Good
20,02AB021,0.3833078398170735,0.3767469215609923,Good
21,02AB022,0.589778788410088,0.6396085794058026,Good
22,02AB023,0.4210868539444964,0.191526939672353,Good
23,02AB024,0.5870253289934482,0.5472435674660437,Good
24,02AB025,-11684.003597169258,-104.36483451297266,Negative
25,02AC001,-2.959054158146099,-0.4048221580306113,Negative
26,02AC002,-7080.035995940927,-84.03263146597594,Negative
27,02AD010,-3.014008128755444,-0.3093383411285322,Negative
28,02AD011,,,N/A
29,02AE001,0.4175317865415301,0.377086474786838,Good
30,02BA002,,,N/A
31,02BA003,0.3989354386227032,0.5384188909262521,Good
32,02BA005,0.5992347065201831,0.6003101405194371,Good
33,02BA006,0.25391474531515534,0.44507293734247877,Unsatisfactory
34,02BB002,,,N/A
35,02BB003,-2312.7517424952857,-47.721859643513824,Negative
36,02BB004,-5.316744325993463,-0.759328559313726,Negative
37,02BC002,,,N/A
38,02BC003,,,N/A
39,02BC004,-4855.651942631071,-67.93804361046428,Negative
40,02BC005,,,N/A
41,02BC006,-0.019161696500270553,-0.1469798533129849,Negative
42,02BC008,-8684.07334699623,-91.71246548027078,Negative
43,02BD001,,,N/A
44,02BD002,-2322.8268901177553,-45.74031536592826,Negative
45,02BD003,,,N/A
46,02BD006,0.09410778970354217,0.11533417114298639,Unsatisfactory
47,02BD007,-81.12928175585844,-7.066772162844476,Negative
48,02BE001,,,N/A
49,02BE002,-6.578496996387877,-0.8894013625971926,Negative
50,02BF001,-1.6405178083203875,0.04986404389452037,Negative
51,02BF002,-0.05892832726760444,0.08880704185972277,Negative
52,02BF003,,,N/A
53,02BF004,0.5793132113978978,0.42717788729453243,Good
54,02BF005,0.7895205043528077,0.8043421460685237,Excellent
55,02BF006,0.7863950776625658,0.8667375226004133,Excellent
56,02BF007,0.7531577827618903,0.8167467855766742,Excellent
57,02BF014,-462.18129195853606,-19.656885038300015,Negative
58,02CA002,0.6905136458226591,0.8160228277392629,Good
59,02CA007,0.07989345634244982,0.07047284434757417,Unsatisfactory
60,02CB001,,,N/A
61,02CB002,,,N/A
62,02CB003,-2.452686017034163,-0.1961239531459713,Negative
63,02CC002,,,N/A
64,02CC003,,,N/A
65,02CC004,,,N/A
66,02CC005,-134.57188050026244,-10.15646048029589,Negative
67,02CC006,,,N/A
68,02CC007,,,N/A
69,02CC008,-22954.184012867205,-142.92176734952528,Negative
70,02CC009,,,N/A
71,02CC010,0.21572103950283772,0.4776933807396573,Unsatisfactory
72,02CD001,-55.254662781810794,-5.96433220331729,Negative
73,02CD002,,,N/A
74,02CD003,,,N/A
75,02CD004,,,N/A
76,02CD005,,,N/A
77,02CD006,0.5210056345359484,0.7217418890065894,Good
78,02CE001,,,N/A
79,02CE002,0.09133575150594941,0.5660182496141696,Unsatisfactory
80,02CE003,,,N/A
81,02CE004,,,N/A
82,02CE007,0.6009402359403003,0.49551998522346685,Good
83,02CE103,,,N/A
84,02CF001,,,N/A
85,02CF002,,,N/A
86,02CF004,,,N/A
87,02CF005,0.5330082523747208,0.4051892172188982,Good
88,02CF007,0.5806686505558594,0.44052473289546723,Good
89,02CF008,0.533634191296035,0.3302675795045038,Good
90,02CF009,,,N/A
91,02CF010,-11.516130386325147,-2.1622911658143003,Negative
92,02CF011,0.21343609109845707,0.12983438891316557,Unsatisfactory
93,02CF012,0.5054557512153329,0.4271453064874162,Good
94,02CF013,0.6248742029408207,0.698356615646767,Good
95,02CF014,0.10975502595712405,0.031190053579632893,Unsatisfactory
96,02CF100,,,N/A
97,02CG001,,,N/A
98,02CG003,0.5038327736915789,0.42222517807841375,Good
99,02CG004,-0.653610591426796,0.17420306229609572,Negative
100,02DA001,,,N/A
101,02DB001,,,N/A
102,02DB002,,,N/A
103,02DB003,,,N/A
104,02DB004,,,N/A
105,02DB005,-3421.840996296678,-55.91188750715934,Negative
106,02DB006,,,N/A
107,02DB007,0.6951679934209838,0.5930732313096383,Good
108,02DB008,-9974.575139165707,-97.21569640273124,Negative
109,02DC001,,,N/A
110,02DC002,,,N/A
111,02DC003,,,N/A
112,02DC004,-706.3477080212674,-25.04890075438935,Negative
113,02DC005,,,N/A
114,02DC006,,,N/A
115,02DC007,,,N/A
116,02DC008,,,N/A
117,02DC009,,,N/A
118,02DC011,,,N/A
119,02DC012,-1.0408896573152608,0.008469822585836062,Negative
120,02DC013,0.2507939078845077,0.21636097587899406,Unsatisfactory
121,02DD001,,,N/A
122,02DD002,,,N/A
123,02DD004,,,N/A
124,02DD005,,,N/A
125,02DD007,,,N/A
126,02DD008,,,N/A
127,02DD009,,,N/A
128,02DD010,-11162.458269425468,-81.91985980596691,Negative
129,02DD012,-7.3596436293332825,-1.983045064179604,Negative
130,02DD013,0.6418935127258563,0.6760726589238724,Good
131,02DD014,0.6442490706319492,0.5448647028637301,Good
132,02DD015,0.6451319365713046,0.6971925642807595,Good
133,02DD016,-42715.33283199872,-182.25406238251557,Negative
134,02DD017,-69488.73421278533,-258.86286461781066,Negative
135,02DD019,,,N/A
136,02DD020,0.10615437220275414,0.10413871376381656,Unsatisfactory
137,02DD024,0.46653052290830566,0.545438459079305,Good
138,02DD026,-3.5308024978715515,-0.4540299088314701,Negative
139,02DD029,-21432.420701016978,-117.39787712054338,Negative
140,02DD030,-3779002.095835505,-1907.3521551790857,Negative
141,02DD031,-632493.5967191365,-694.2637119293538,Negative
142,02EA001,,,N/A
143,02EA005,0.3239392619001291,0.5647101868495114,Unsatisfactory
144,02EA006,,,N/A
145,02EA007,,,N/A
146,02EA008,,,N/A
147,02EA009,,,N/A
148,02EA010,0.38917626721217635,0.23170060939728276,Good
149,02EA011,-122.13044540469114,-9.46596249868951,Negative
150,02EA012,,,N/A
151,02EA018,0.17848665701607624,0.530657490436794,Unsatisfactory
152,02EA021,0.5023633214210299,0.7138324179213993,Good
153,02EB002,,,N/A
154,02EB003,,,N/A
155,02EB004,-12.03712367172255,-2.0961173832520386,Negative
156,02EB005,,,N/A
157,02EB006,-4453.724664394237,-61.948643049442765,Negative
158,02EB007,,,N/A
159,02EB008,-24.68240136968789,-3.3050879624754215,Negative
160,02EB009,,,N/A
161,02EB010,,,N/A
162,02EB011,-9000.21772674062,-108.38144630641416,Negative
163,02EB012,0.37325709578785293,0.7061577715352473,Good
164,02EB013,0.5575481755026845,0.5232558577089739,Good
165,02EB014,0.0966244644366252,0.08109173120795388,Unsatisfactory
166,02EB103,,,N/A
167,02EB104,,,N/A
168,02EB105,,,N/A
169,02EC001,,,N/A
170,02EC002,-2.611481810001303,-0.5067781835161245,Negative
171,02EC003,-5503.014481018352,-69.52019379055068,Negative
172,02EC004,,,N/A
173,02EC006,,,N/A
174,02EC007,,,N/A
175,02EC008,0.23893983068702596,0.14400327280547187,Unsatisfactory
176,02EC009,0.35116810150988853,0.19378981179953103,Unsatisfactory
177,02EC010,0.5757684978536519,0.515899817698064,Good
178,02EC011,0.4329190886444033,0.2721005701383298,Good
179,02EC012,,,N/A
180,02EC014,,,N/A
181,02EC018,-0.4281010574883599,0.317149159777101,Negative
182,02EC019,-7.113836586392058,-1.3976488950601937,Negative
183,02EC020,0.7745001064753725,0.769741285961531,Excellent
184,02EC021,0.18972882024332216,0.5242289243629307,Unsatisfactory
185,02EC022,-0.2554751558775805,-0.14729272084693124,Negative
186,02EC101,,,N/A
187,02EC103,,,N/A
188,02EC918,,,N/A
189,02ED001,,,N/A
190,02ED003,-1.7841954390918167,-0.3574367867757682,Negative
191,02ED004,,,N/A
192,02ED005,,,N/A
193,02ED007,0.5806546323404429,0.6466702876220027,Good
194,02ED009,,,N/A
195,02ED010,,,N/A
196,02ED011,,,N/A
197,02ED013,0.5984501487276522,0.5473202237377273,Good
198,02ED014,0.5224447551346907,0.5295503786474818,Good
199,02ED015,0.6338212951039324,0.6984050574595084,Good
200,02ED016,,,N/A
201,02ED017,0.5577485388033427,0.4855441200697236,Good
202,02ED018,,,N/A
203,02ED019,,,N/A
204,02ED024,0.6468327735398165,0.727858419212575,Good
205,02ED025,,,N/A
206,02ED026,0.6635500251451478,0.6442238199917076,Good
207,02ED027,-1.384955909063219,-0.0040251329648943734,Negative
208,02ED028,,,N/A
209,02ED029,0.3745620053039368,0.395119327790732,Good
210,02ED030,0.0844633134641426,0.5374867333430562,Unsatisfactory
211,02ED031,0.48444053957391675,0.4077595026792873,Good
212,02ED032,0.5769028339797033,0.6379693320076614,Good
213,02ED100,0.3181510287284286,0.23183684056117537,Unsatisfactory
214,02ED101,0.620212093928355,0.7228442615835045,Good
215,02ED102,0.32498529770135787,0.23331472654141516,Unsatisfactory
216,02FA001,-0.17464399546128528,0.4478358997903529,Negative
217,02FA002,0.6364143841474166,0.7856397667476647,Good
