﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
02HF005,1,2021/06/02,3.82,A
02HF005,1,2021/06/03,2.58,
02HF005,1,2021/06/04,2.61,
02HF005,1,2021/06/05,3.02,
02HF005,1,2021/06/06,3.36,
02HF005,1,2021/06/07,3.49,
02HF005,1,2021/06/08,3.74,
02HF005,1,2021/06/09,3.91,
02HF005,1,2021/06/10,4.25,
02HF005,1,2021/06/11,7.52,
02HF005,1,2021/06/12,8.21,
02HF005,1,2021/06/13,7.69,
02HF005,1,2021/06/14,7.43,
02HF005,1,2021/06/15,8.26,
02HF005,1,2021/06/16,8.18,
02HF005,1,2021/06/17,8.03,
02HF005,1,2021/06/18,8.97,
02HF005,1,2021/06/19,9.56,
02HF005,1,2021/06/20,9.35,
02HF005,1,2021/06/21,9.07,
02HF005,1,2021/06/22,9.19,
02HF005,1,2021/06/23,10.3,
02HF005,1,2021/06/24,9.58,
02HF005,1,2021/06/25,9.67,
02HF005,1,2021/06/26,12.5,
02HF005,1,2021/06/27,16.9,
02HF005,1,2021/06/28,18.2,
02HF005,1,2021/06/29,17.0,
02HF005,1,2021/06/30,15.1,
02HF005,1,2021/07/01,12.4,
02HF005,1,2021/07/02,10.2,
02HF005,1,2021/07/03,8.32,
02HF005,1,2021/07/04,7.14,
02HF005,1,2021/07/05,6.72,
02HF005,1,2021/07/06,12.2,
02HF005,1,2021/07/07,14.5,
02HF005,1,2021/07/08,19.4,
02HF005,1,2021/07/09,25.2,
02HF005,1,2021/07/10,25.2,
02HF005,1,2021/07/11,21.9,
02HF005,1,2021/07/12,19.3,
02HF005,1,2021/07/13,20.1,
02HF005,1,2021/07/14,31.9,
02HF005,1,2021/07/15,39.5,
02HF005,1,2021/07/16,44.4,
02HF005,1,2021/07/17,46.9,
02HF005,1,2021/07/18,43.2,
02HF005,1,2021/07/19,36.5,
02HF005,1,2021/07/20,30.4,
02HF005,1,2021/07/21,28.1,
02HF005,1,2021/07/22,27.4,
02HF005,1,2021/07/23,24.9,
02HF005,1,2021/07/24,22.0,
02HF005,1,2021/07/25,21.8,
02HF005,1,2021/07/26,20.8,
02HF005,1,2021/07/27,19.1,
02HF005,1,2021/07/28,16.7,
02HF005,1,2021/07/29,15.5,
02HF005,1,2021/07/30,15.6,
02HF005,1,2021/07/31,15.9,
02HF005,1,2021/08/01,17.1,
02HF005,1,2021/08/02,18.5,
02HF005,1,2021/08/03,17.7,
02HF005,1,2021/08/04,16.4,
