basin_id,NSE
02AA001,
02AA002,
02AB001,
02AB002,
02AB004,
02AB005,
02AB006,-1.5735344681178263
02AB007,
02AB008,-0.1562826116362117
02AB009,
02AB010,
02AB011,
02AB012,
02AB013,
02AB014,-0.10936882265506243
02AB015,
02AB016,
02AB017,-0.2190297977655813
02AB019,0.09879838406085295
02AB020,-0.016162536527834392
02AB021,-0.22419275042719544
02AB022,0.12475369724893015
02AB023,-0.09490786403227158
02AB024,0.0868617784117296
02AB025,-41.80545117214796
02AC001,-0.3358598832167039
02AC002,-0.6835078177897889
02AD010,-0.3854620882848607
02AD011,
02AE001,-0.38190726389261176
02BA002,
02BA003,-0.5323092073362876
02BA005,-1.3963875097161806
02BA006,-0.6463267993456374
02BB002,
02BB003,-0.4964316145249039
02BB004,-0.6003317968718793
02BC002,
02BC003,
02BC004,-1.1256778676227706
02BC005,
02BC006,-0.40139982688296794
02BC008,-0.9591217387107183
02BD001,
02BD002,-1.4785165438668622
02BD003,
02BD006,0.0340161461425289
02BD007,-2.4512174333210464
02BE001,
02BE002,-2.042515043577736
02BF001,-0.46217507111022504
02BF002,-0.47088924289157075
02BF003,
02BF004,-0.01614532174036243
02BF005,-0.7747971196914019
02BF006,-1.8023703383982537
02BF007,-4.908128901042216
02BF014,-0.5564865999993671
02CA002,-0.2198863899497372
02CA007,-0.4577817293879012
02CB001,
02CB002,
02CB003,-0.580422513970823
02CC002,
02CC003,
02CC004,
02CC005,-0.7341527622895123
02CC006,
02CC007,
02CC008,-3.247178992979986
02CC009,
02CC010,-0.6405745517152475
02CD001,-1.0625771010989213
02CD002,
02CD003,
02CD004,
02CD005,
02CD006,-0.8060884250242335
02CE001,
02CE002,-0.8744147555918629
02CE003,
02CE004,
02CE007,0.09544696652006923
02CE103,
02CF001,
02CF002,
02CF004,
02CF005,-0.24960878008162246
02CF007,-0.39599531228671325
02CF008,-0.37997339509148653
02CF009,
02CF010,-0.7660083654370602
02CF011,-0.7035863153869344
02CF012,-1.129631343253613
02CF013,0.1395296052291538
02CF014,-0.6322898126737826
02CF100,
02CG001,
02CG003,0.013426314280666318
02CG004,-0.03178774232196435
02DA001,
02DB001,
02DB002,
02DB003,
02DB004,
02DB005,-2.4891502679476187
02DB006,
02DB007,-0.23796918037733428
02DB008,-1.747282892618764
02DC001,
02DC002,
02DC003,
02DC004,-1.0371965097531568
02DC005,
02DC006,
02DC007,
02DC008,
02DC009,
02DC011,
02DC012,-0.651368891129803
02DC013,-0.4244421024611975
02DD001,
02DD002,
02DD004,
02DD005,
02DD007,
02DD008,
02DD009,
02DD010,-2.7357492271617665
02DD012,-0.3147151127397896
02DD013,-0.0230636676512479
02DD014,0.09356047922210897
02DD015,-0.3368865353936352
02DD016,-2.9668828393200073
02DD017,-1.0702924142775894
02DD019,
02DD020,-1.4347537612623844
02DD024,-0.8051594106610198
02DD026,-2.6959932859061744
02DD029,-2.9998068116306746
02DD030,-1.0520260951350582
02DD031,-1.7190871907868472
02EA001,
02EA005,-0.7428036226978951
02EA006,
02EA007,
02EA008,
02EA009,
02EA010,-0.41310272704331163
02EA011,-1.1977712332893535
02EA012,
02EA018,-0.9129692666612834
02EA021,-0.25908982255312485
02EB002,
02EB003,
02EB004,-1.2023377215041369
02EB005,
02EB006,-2.0192205111108357
02EB007,
02EB008,-1.757684640113741
02EB009,
02EB010,
02EB011,-0.3876930597906205
02EB012,-4.8038521072061116
02EB013,-0.6579484701995002
02EB014,-0.977452388681127
02EB103,
02EB104,
02EB105,
02EC001,
02EC002,-0.9328149347298671
02EC003,-2.0162332175664828
02EC004,
02EC006,
02EC007,
02EC008,-0.6449341401738597
02EC009,-0.38503261955339396
02EC010,0.04359639397020698
02EC011,-0.6287447660755432
02EC012,
02EC014,
02EC018,-1.267700051300615
02EC019,-0.6929733940288751
02EC020,0.12006139199054155
02EC021,0.13532806575860767
02EC022,-1.0256174149810207
02EC101,
02EC103,
02EC918,
02ED001,
02ED003,-0.8070160169706302
02ED004,
02ED005,
02ED007,-1.565841202722308
02ED009,
02ED010,
02ED011,
02ED013,-0.43749680203987107
02ED014,-1.3136556079119162
02ED015,-0.7307464982234515
02ED016,
02ED017,0.050491661155061096
02ED018,
02ED019,
02ED024,-0.7145964337644841
02ED025,
02ED026,-0.6523229449332566
02ED027,-1.590254960630559
02ED028,
02ED029,-0.6435709127241445
02ED030,-18.345396301147577
02ED031,-0.16022080601604727
02ED032,-1.5389314820646862
02ED100,-0.0016067345861734417
02ED101,-0.9531682513323723
02ED102,-0.5867736245366777
02FA001,-0.9702964530125269
02FA002,-0.09908764164190154
02FA004,-0.4212333793624865
02FB001,
02FB003,
02FB004,
02FB005,
02FB006,
02FB007,-0.8583614423792314
02FB008,
02FB009,-1.2532216952728885
02FB010,-0.6196261819707138
02FB012,-0.47839764127152873
02FB013,-2.3493781274577437
02FB014,-0.20477118278072948
02FC001,-0.885065606786857
02FC002,-0.9001484571928866
02FC004,
02FC005,
02FC009,
