basin_id,discharge_coverage
02AA001,1.0
02AA002,0.0
02AB001,0.0
02AB002,0.0
02AB004,1.0
02AB005,0.0
02AB006,1.0
02AB007,0.0
02AB008,1.0
02AB009,1.0
02AB010,1.0
02AB011,1.0
02AB012,0.9996816503247167
02AB013,1.0
02AB014,1.0
02AB015,1.0
02AB016,1.0
02AB017,1.0
02AB019,0.8644467082643575
02AB020,0.8371959760601044
02AB021,0.7906532535336814
02AB022,0.4584872023430536
02AB023,0.3639373487839042
02AB024,0.3608175219661276
02AB025,0.3555329173564243
02AC001,1.0
02AC002,1.0
02AD010,1.0
02AD011,0.8184133452183878
02AE001,1.0
02BA002,1.0
02BA003,1.0
02BA005,0.7882337960015281
02BA006,0.4602062905895836
02BB002,1.0
02BB003,1.0
02BB004,0.886667515599134
02BC002,0.0
02BC003,0.0
02BC004,1.0
02BC005,0.6743919521202089
02BC006,0.3720871004711575
02BC008,0.09302177511778938
02BD001,0.0
02BD002,1.0
02BD003,1.0
02BD006,0.7674137272379982
02BD007,0.4883484018846301
02BE001,0.0
02BE002,1.0
02BF001,1.0
02BF002,1.0
02BF003,0.0
02BF004,1.0
02BF005,0.9887940914300267
02BF006,1.0
02BF007,0.9655545651343436
02BF014,0.3720871004711575
02CA002,1.0
02CA007,0.3720871004711575
02CB001,1.0
02CB002,0.0
02CB003,0.9837641665605501
02CC002,0.0
02CC003,0.0
02CC004,0.0
02CC005,1.0
02CC006,0.0
02CC007,1.0
02CC008,1.0
02CC009,1.0
02CC010,0.9842735260410035
02CD001,1.0
02CD002,1.0
02CD003,1.0
02CD004,1.0
02CD005,1.0
02CD006,1.0
02CE001,1.0
02CE002,1.0
02CE003,0.0
02CE004,1.0
02CE007,0.3866038456640774
02CE103,0.0
02CF001,0.0
02CF002,0.0
02CF004,0.99980899019483
02CF005,1.0
02CF007,1.0
02CF008,1.0
02CF009,1.0
02CF010,1.0
02CF011,1.0
02CF012,1.0
02CF013,0.9718578887049535
02CF014,0.40634152553164393
02CF100,0.0
02CG001,0.0
02CG003,0.8722781102763275
02CG004,0.3720871004711575
02DA001,0.0
02DB001,0.0
02DB002,0.0
02DB003,0.0
02DB004,0.0
02DB005,1.0
02DB006,1.0
02DB007,0.9931873169489367
02DB008,0.04647905259136636
02DC001,0.0
02DC002,0.0
02DC003,1.0
02DC004,1.0
02DC005,0.0
02DC006,0.0
02DC007,1.0
02DC008,1.0
02DC009,0.0
02DC011,0.9562587546160702
02DC012,0.8604355023557876
02DC013,0.3255443779447345
02DD001,0.0
02DD002,0.0
02DD004,0.0
02DD005,1.0
02DD007,1.0
02DD008,1.0
